#
#       site : https://molat.obspm.fr/index.php?page=pages/Molecules/CO-Rostas/view_data.php&fichier=T112C16O.txt
#
#       Table 1A. Absorption lines of 12C16O listed by rotational number (J") of
#                 the lower level.  
#
#       - column no 1 : (" between quotes ") band identification
#       - column no 2 : lower vibrational level
#       - column no 3 : lower rotational  level
#       - column no 4 : wavelength (in nm)
#       - column no 5 : wavenumber (in cm-1)
#       - column no 6 : oscillator strength
#       - column no 7 : upper state reciprocal lifetime (in s-1)
#       - column no 8 : upper state branching ratio towards dissociation
#
#       For more details concerning this table, please refer to page 234 of the paper by
#       Eidelsberg et al.(1991) which can be downloaded from this site. 
#
nb of lines:  3051
"C12O16 32   G  3dp1P 0-0 R(14)"   0  14   98.9139 101098.07 1.274E-04 1.000E+11 1.000E+00
"C12O16 *    G'    3P 1-0 P(14)"   0  14   99.4801 100522.64 2.563E-06 1.000E+10 1.000E+00
"C12O16 *    G'    3P 1-0 Q(14)"   0  14   99.4386 100564.59 5.719E-06 1.000E+10 1.000E+00
"C12O16 *    G'    3P 1-0 R(14)"   0  14   99.3942 100609.47 3.157E-06 1.000E+10 1.000E+00
"C12O16 *    C  3ps1S 4-0 P(14)"   0  14   99.6786 100322.42 1.099E-04 1.000E+12 1.000E+00
"C12O16 *    C  3ps1S 4-0 R(14)"   0  14   99.5727 100429.14 1.179E-04 1.000E+12 1.000E+00
"C12O16 33   F  3ds1S 0-0 P(14)"   0  14  100.3412  99659.95 3.828E-03 3.333E+11 1.000E+00
"C12O16 33   F  3ds1S 0-0 R(14)"   0  14  100.2412  99759.41 4.106E-03 3.333E+11 1.000E+00
"C12O16 34   V     3P 0-0 P(14)"   0  14  101.1863  98827.56 9.904E-06 1.000E+09 1.000E+00
"C12O16 34   V     3P 0-0 Q(14)"   0  14  101.1376  98875.18 2.210E-05 1.000E+09 1.000E+00
"C12O16 34   V     3P 0-0 R(14)"   0  14  101.0856  98926.11 1.220E-05 1.000E+09 1.000E+00
"C12O16 35   C  3ps1S 3-0 P(14)"   0  14  101.8513  98182.33 2.105E-05 1.000E+09 1.000E+00
"C12O16 35   C  3ps1S 3-0 R(14)"   0  14  101.7387  98290.99 2.258E-05 1.000E+09 1.000E+00
"C12O16 36   E  3pp1P 2-0 P(14)"   0  14  102.9905  97096.38 9.557E-06 1.000E+10 1.000E+00
"C12O16 36   E  3pp1P 2-0 Q(14)"   0  14  102.9373  97146.47 2.133E-05 1.000E+10 1.000E+00
"C12O16 36   E  3pp1P 2-0 R(14)"   0  14  102.8738  97206.52 1.178E-05 1.000E+10 1.000E+00
"C12O16 *    C  3ps1S 2-0 P(14)"   0  14  104.0370  96119.67 5.043E-06 1.000E+10 1.000E+00
"C12O16 *    C  3ps1S 2-0 R(14)"   0  14  103.9178  96229.89 5.409E-06 1.000E+10 1.000E+00
"C12O16 37   E  3pp1P 1-0 P(14)"   0  14  105.2275  95032.22 5.538E-04 1.000E+10 9.800E-01
"C12O16 37   E  3pp1P 1-0 Q(14)"   0  14  105.1674  95086.46 1.236E-03 1.000E+10 9.800E-01
"C12O16 37   E  3pp1P 1-0 R(14)"   0  14  105.1032  95144.56 6.825E-04 1.000E+10 9.800E-01
"C12O16 38   C  3ps1S 1-0 P(14)"   0  14  106.3693  94012.05 1.336E-03 1.000E+09 6.000E-01
"C12O16 38   C  3ps1S 1-0 R(14)"   0  14  106.2434  94123.48 1.433E-03 1.000E+09 6.000E-01
"C12O16 39   E  3pp1P 0-0 P(14)"   0  14  107.6614  92883.83 8.176E-03 1.000E+09 8.900E-01
"C12O16 39   E  3pp1P 0-0 Q(14)"   0  14  107.6006  92936.28 1.825E-02 1.000E+09 8.900E-01
"C12O16 39   E  3pp1P 0-0 R(14)"   0  14  107.5297  92997.60 1.008E-02 1.000E+09 8.900E-01
"C12O16 40   C  3ps1S 0-0 P(14)"   0  14  108.8505  91869.14 2.985E-02 1.000E+09 0.000E+00
"C12O16 40   C  3ps1S 0-0 R(14)"   0  14  108.7173  91981.70 3.202E-02 1.000E+09 0.000E+00
"C12O16 41   B  3ss1S 2-0 P(14)"   0  14  109.9793  90926.19 1.805E-05 3.333E+11 1.000E+00
"C12O16 41   B  3ss1S 2-0 R(14)"   0  14  109.8480  91034.92 1.937E-05 3.333E+11 1.000E+00
"C12O16 42   B  3ss1S 1-0 P(14)"   0  14  112.4298  88944.40 3.455E-04 1.000E+08 0.000E+00
"C12O16 42   B  3ss1S 1-0 R(14)"   0  14  112.2893  89055.69 3.706E-04 1.000E+08 0.000E+00
"C12O16 43   B  3ss1S 0-0 P(14)"   0  14  115.1184  86867.06 2.179E-03 1.000E+08 0.000E+00
"C12O16 43   B  3ss1S 0-0 R(14)"   0  14  114.9691  86979.89 2.337E-03 1.000E+08 0.000E+00
"C12O16 7A         1P 0-0 P(15)"   0  15   91.3200 109504.99 7.623E-04 1.000E+10 1.000E+00
"C12O16 7A         1P 0-0 Q(15)"   0  15   91.2726 109561.87 1.689E-03 1.000E+10 1.000E+00
"C12O16 7A         1P 0-0 R(15)"   0  15   91.2222 109622.43 9.266E-04 1.000E+10 1.000E+00
"C12O16 7B      5ps1S 1-0 P(15)"   0  15   91.4042 109404.17 8.121E-04 1.000E+10 1.000E+00
"C12O16 7B      5ps1S 1-0 R(15)"   0  15   91.3098 109517.27 8.671E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 P(15)"   0  15   91.3881 109423.46 3.790E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 Q(15)"   0  15   91.3402 109480.82 8.397E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 R(15)"   0  15   91.2894 109541.80 4.607E-04 1.000E+10 1.000E+00
"C12O16 7D         1S 2-0 P(15)"   0  15   91.4425 109358.38 1.302E-02 1.000E+10 1.000E+00
"C12O16 7D         1S 2-0 R(15)"   0  15   91.3520 109466.72 1.391E-02 1.000E+10 1.000E+00
"C12O16 8A      6pp1P 0-0 P(15)"   0  15   91.6246 109140.95 4.470E-04 1.000E+11 1.000E+00
"C12O16 8A      6pp1P 0-0 Q(15)"   0  15   91.5768 109197.95 9.904E-04 1.000E+11 1.000E+00
"C12O16 8A      6pp1P 0-0 R(15)"   0  15   91.5259 109258.75 5.434E-04 1.000E+11 1.000E+00
"C12O16 8B      6ps1S 0-0 P(15)"   0  15   91.6853 109068.69 3.828E-03 1.000E+11 1.000E+00
"C12O16 8B      6ps1S 0-0 R(15)"   0  15   91.5985 109172.09 4.087E-03 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 P(15)"   0  15   91.8227 108905.58 5.120E-03 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 Q(15)"   0  15   91.7812 108954.74 1.134E-02 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 R(15)"   0  15   91.7372 109007.03 6.223E-03 1.000E+11 1.000E+00
"C12O16 9B      6ss1S 0-0 P(15)"   0  15   91.9309 108777.35 1.365E-03 1.000E+11 1.000E+00
"C12O16 9B      6ss1S 0-0 R(15)"   0  15   91.8189 108910.03 1.458E-03 1.000E+11 1.000E+00
"C12O16 9C      5ss1S 1-0 P(15)"   0  15   92.0660 108617.73 1.362E-03 1.000E+11 1.000E+00
"C12O16 9C      5ss1S 1-0 R(15)"   0  15   91.9661 108735.66 1.454E-03 1.000E+11 1.000E+00
"C12O16 10      5ds1S 0-0 P(15)"   0  15   92.3285 108308.95 3.055E-03 3.333E+11 1.000E+00
"C12O16 10      5ds1S 0-0 R(15)"   0  15   92.2282 108426.75 3.262E-03 3.333E+11 1.000E+00
"C12O16 11         1S 1-0 P(15)"   0  15   92.5236 108080.49 2.493E-03 1.000E+11 1.000E+00
"C12O16 11         1S 1-0 R(15)"   0  15   92.4257 108195.04 2.662E-03 1.000E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 P(15)"   0  15   92.6833 107894.32 3.687E-03 3.333E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 Q(15)"   0  15   92.6420 107942.35 8.168E-03 3.333E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 R(15)"   0  15   92.5983 107993.37 4.482E-03 3.333E+11 1.000E+00
"C12O16 13         1P 2-0 P(15)"   0  15   92.9175 107622.32 1.508E-03 1.000E+11 1.000E+00
"C12O16 13         1P 2-0 Q(15)"   0  15   92.8681 107679.57 3.341E-03 1.000E+11 1.000E+00
"C12O16 13         1P 2-0 R(15)"   0  15   92.8155 107740.64 1.833E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 P(15)"   0  15   93.0753 107439.86 1.433E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 Q(15)"   0  15   93.0283 107494.12 3.174E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 R(15)"   0  15   92.9783 107551.94 1.741E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 P(15)"   0  15   93.2072 107287.80 1.361E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 Q(15)"   0  15   93.1644 107337.17 3.016E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 R(15)"   0  15   93.1187 107389.81 1.655E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 P(15)"   0  15   93.3143 107164.75 2.721E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 Q(15)"   0  15   93.2823 107201.49 6.027E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 R(15)"   0  15   93.2493 107239.38 3.306E-03 1.000E+11 1.000E+00
"C12O16 15C     5ps1S 0-0 P(15)"   0  15   93.3181 107160.38 1.067E-02 1.000E+10 1.000E+00
"C12O16 15C     5ps1S 0-0 R(15)"   0  15   93.2036 107292.02 1.139E-02 1.000E+10 1.000E+00
"C12O16 16         1S 2-0 P(15)"   0  15   93.8015 106608.15 1.819E-03 3.333E+11 1.000E+00
"C12O16 16         1S 2-0 R(15)"   0  15   93.7513 106665.19 1.941E-03 3.333E+11 1.000E+00
"C12O16 *          1S 0-0 P(15)"   0  15   93.8522 106550.53 6.211E-06 3.333E+11 1.000E+00
"C12O16 *          1S 0-0 R(15)"   0  15   93.7485 106668.39 6.633E-06 3.333E+11 1.000E+00
"C12O16 17   I' 5ss1S 0-0 P(15)"   0  15   94.0502 106326.25 1.033E-02 1.000E+12 1.000E+00
"C12O16 17   I' 5ss1S 0-0 R(15)"   0  15   93.9390 106452.11 1.103E-02 1.000E+12 1.000E+00
"C12O16 18   W  3ss1P 2-0 P(15)"   0  15   94.2233 106130.87 5.812E-03 1.000E+11 1.000E+00
"C12O16 18   W  3ss1P 2-0 Q(15)"   0  15   94.1801 106179.54 1.288E-02 1.000E+11 1.000E+00
"C12O16 18   W  3ss1P 2-0 R(15)"   0  15   94.1341 106231.45 7.064E-03 1.000E+11 1.000E+00
"C12O16 19      4ds1S 0-0 P(15)"   0  15   94.6877 105610.31 3.686E-03 1.000E+11 1.000E+00
"C12O16 19      4ds1S 0-0 R(15)"   0  15   94.5834 105726.75 3.936E-03 1.000E+11 1.000E+00
"C12O16 20   L  4pp1P 1-0 P(15)"   0  15   94.8834 105392.53 6.295E-04 1.000E+10 1.000E+00
"C12O16 20   L  4pp1P 1-0 Q(15)"   0  15   94.8306 105451.21 1.395E-03 1.000E+10 1.000E+00
"C12O16 20   L  4pp1P 1-0 R(15)"   0  15   94.7743 105513.79 7.653E-04 1.000E+10 1.000E+00
"C12O16 21   H  4ps1S 1-0 P(15)"   0  15   95.0528 105204.72 1.066E-02 1.000E+12 1.000E+00
"C12O16 21   H  4ps1S 1-0 R(15)"   0  15   94.9444 105324.81 1.138E-02 1.000E+12 1.000E+00
"C12O16 22   W  3ss1P 1-0 P(15)"   0  15   95.7464 104442.60 3.038E-03 3.333E+11 1.000E+00
"C12O16 22   W  3ss1P 1-0 Q(15)"   0  15   95.7039 104488.91 6.729E-03 3.333E+11 1.000E+00
"C12O16 22   W  3ss1P 1-0 R(15)"   0  15   95.6588 104538.19 3.692E-03 3.333E+11 1.000E+00
"C12O16 23   H'    3P 3-0 P(15)"   0  15   96.1835 103967.95 5.801E-05 3.333E+11 1.000E+00
"C12O16 23   H'    3P 3-0 Q(15)"   0  15   96.1447 104009.95 1.285E-04 3.333E+11 1.000E+00
"C12O16 23   H'    3P 3-0 R(15)"   0  15   96.1033 104054.75 7.050E-05 3.333E+11 1.000E+00
"C12O16 24   J  4ss1S 1-0 P(15)"   0  15   96.4939 103633.49 1.351E-03 3.333E+11 1.000E+00
"C12O16 24   J  4ss1S 1-0 R(15)"   0  15   96.3834 103752.27 1.443E-03 3.333E+11 1.000E+00
"C12O16 25   L  4pp1P 0-0 P(15)"   0  15   96.8747 103226.16 1.746E-03 1.000E+10 1.000E+00
"C12O16 25   L  4pp1P 0-0 Q(15)"   0  15   96.8191 103285.43 3.869E-03 1.000E+10 1.000E+00
"C12O16 25   L  4pp1P 0-0 R(15)"   0  15   96.7599 103348.63 2.123E-03 1.000E+10 1.000E+00
"C12O16 26   L' 3dp1P 1-0 P(15)"   0  15   96.9673 103127.59 2.797E-03 3.333E+11 1.000E+00
"C12O16 26   L' 3dp1P 1-0 Q(15)"   0  15   96.9167 103181.35 6.197E-03 3.333E+11 1.000E+00
"C12O16 26   L' 3dp1P 1-0 R(15)"   0  15   96.8629 103238.68 3.401E-03 3.333E+11 1.000E+00
"C12O16 27   K  4ps1S 0-0 P(15)"   0  15   97.0935 102993.46 1.016E-02 1.000E+10 1.000E+00
"C12O16 27   K  4ps1S 0-0 R(15)"   0  15   96.9833 103110.50 1.085E-02 1.000E+10 1.000E+00
"C12O16 28   W  3ss1P 0-0 P(15)"   0  15   97.3990 102670.44 2.720E-03 1.000E+10 1.000E+00
"C12O16 28   W  3ss1P 0-0 Q(15)"   0  15   97.3556 102716.24 6.026E-03 1.000E+10 1.000E+00
"C12O16 28   W  3ss1P 0-0 R(15)"   0  15   97.3095 102764.93 3.306E-03 1.000E+10 1.000E+00
"C12O16 29   W'    3P 2-0 P(15)"   0  15   97.8741 102172.08 4.108E-04 1.000E+11 1.000E+00
"C12O16 29   W'    3P 2-0 Q(15)"   0  15   97.8301 102218.01 9.100E-04 1.000E+11 1.000E+00
"C12O16 29   W'    3P 2-0 R(15)"   0  15   97.7833 102266.99 4.992E-04 1.000E+11 1.000E+00
"C12O16 30   F  3ds1S 1-0 P(15)"   0  15   98.3297 101698.65 2.320E-04 3.333E+11 1.000E+00
"C12O16 30   F  3ds1S 1-0 R(15)"   0  15   98.2193 101812.97 2.478E-04 3.333E+11 1.000E+00
"C12O16 31   J  4ss1S 0-0 P(15)"   0  15   98.6148 101404.62 7.426E-03 1.000E+12 1.000E+00
"C12O16 31   J  4ss1S 0-0 R(15)"   0  15   98.4988 101524.09 7.930E-03 1.000E+12 1.000E+00
"C12O16 32   G  3dp1P 0-0 P(15)"   0  15   99.0278 100981.73 1.041E-04 1.000E+11 1.000E+00
"C12O16 32   G  3dp1P 0-0 Q(15)"   0  15   98.9702 101040.48 2.307E-04 1.000E+11 1.000E+00
"C12O16 32   G  3dp1P 0-0 R(15)"   0  15   98.9089 101103.12 1.266E-04 1.000E+11 1.000E+00
"C12O16 *    G'    3P 1-0 P(15)"   0  15   99.4956 100507.00 2.581E-06 1.000E+10 1.000E+00
"C12O16 *    G'    3P 1-0 Q(15)"   0  15   99.4512 100551.88 5.718E-06 1.000E+10 1.000E+00
"C12O16 *    G'    3P 1-0 R(15)"   0  15   99.4039 100599.67 3.137E-06 1.000E+10 1.000E+00
"C12O16 *    C  3ps1S 4-0 P(15)"   0  15   99.6847 100316.35 1.101E-04 1.000E+12 1.000E+00
"C12O16 *    C  3ps1S 4-0 R(15)"   0  15   99.5714 100430.43 1.176E-04 1.000E+12 1.000E+00
"C12O16 33   F  3ds1S 0-0 P(15)"   0  15  100.3507  99650.56 3.837E-03 3.333E+11 1.000E+00
"C12O16 33   F  3ds1S 0-0 R(15)"   0  15  100.2445  99756.06 4.097E-03 3.333E+11 1.000E+00
"C12O16 34   V     3P 0-0 P(15)"   0  15  101.1966  98817.58 9.977E-06 1.000E+09 1.000E+00
"C12O16 34   V     3P 0-0 Q(15)"   0  15  101.1444  98868.51 2.210E-05 1.000E+09 1.000E+00
"C12O16 34   V     3P 0-0 R(15)"   0  15  101.0890  98922.74 1.213E-05 1.000E+09 1.000E+00
"C12O16 35   C  3ps1S 3-0 P(15)"   0  15  101.8566  98177.20 2.110E-05 1.000E+09 1.000E+00
"C12O16 35   C  3ps1S 3-0 R(15)"   0  15  101.7363  98293.33 2.253E-05 1.000E+09 1.000E+00
"C12O16 36   E  3pp1P 2-0 P(15)"   0  15  102.9951  97091.96 9.628E-06 1.000E+10 1.000E+00
"C12O16 36   E  3pp1P 2-0 Q(15)"   0  15  102.9385  97145.39 2.133E-05 1.000E+10 1.000E+00
"C12O16 36   E  3pp1P 2-0 R(15)"   0  15  102.8704  97209.66 1.170E-05 1.000E+10 1.000E+00
"C12O16 *    C  3ps1S 2-0 P(15)"   0  15  104.0417  96115.29 5.054E-06 1.000E+10 1.000E+00
"C12O16 *    C  3ps1S 2-0 R(15)"   0  15  103.9144  96233.09 5.398E-06 1.000E+10 1.000E+00
"C12O16 37   E  3pp1P 1-0 P(15)"   0  15  105.2312  95028.87 5.579E-04 1.000E+10 9.800E-01
"C12O16 37   E  3pp1P 1-0 Q(15)"   0  15  105.1669  95086.96 1.236E-03 1.000E+10 9.800E-01
"C12O16 37   E  3pp1P 1-0 R(15)"   0  15  105.0984  95148.92 6.784E-04 1.000E+10 9.800E-01
"C12O16 38   C  3ps1S 1-0 P(15)"   0  15  106.3736  94008.26 1.339E-03 1.000E+09 6.000E-01
"C12O16 38   C  3ps1S 1-0 R(15)"   0  15  106.2390  94127.35 1.430E-03 1.000E+09 6.000E-01
"C12O16 39   E  3pp1P 0-0 P(15)"   0  15  107.6645  92881.17 8.237E-03 1.000E+09 8.900E-01
"C12O16 39   E  3pp1P 0-0 Q(15)"   0  15  107.5996  92937.18 1.825E-02 1.000E+09 8.900E-01
"C12O16 39   E  3pp1P 0-0 R(15)"   0  15  107.5237  93002.76 1.002E-02 1.000E+09 8.900E-01
"C12O16 40   C  3ps1S 0-0 P(15)"   0  15  108.8543  91865.89 2.992E-02 1.000E+09 0.000E+00
"C12O16 40   C  3ps1S 0-0 R(15)"   0  15  108.7120  91986.20 3.196E-02 1.000E+09 0.000E+00
"C12O16 41   B  3ss1S 2-0 P(15)"   0  15  109.9855  90921.10 1.809E-05 3.333E+11 1.000E+00
"C12O16 41   B  3ss1S 2-0 R(15)"   0  15  109.8451  91037.29 1.932E-05 3.333E+11 1.000E+00
"C12O16 42   B  3ss1S 1-0 P(15)"   0  15  112.4347  88940.54 3.462E-04 1.000E+08 0.000E+00
"C12O16 42   B  3ss1S 1-0 R(15)"   0  15  112.2845  89059.48 3.698E-04 1.000E+08 0.000E+00
"C12O16 43   B  3ss1S 0-0 P(15)"   0  15  115.1226  86863.94 2.184E-03 1.000E+08 0.000E+00
"C12O16 43   B  3ss1S 0-0 R(15)"   0  15  114.9630  86984.53 2.333E-03 1.000E+08 0.000E+00
"C12O16 7A         1P 0-0 P(16)"   0  16   91.3238 109500.45 7.672E-04 1.000E+10 1.000E+00
"C12O16 7A         1P 0-0 Q(16)"   0  16   91.2733 109561.01 1.689E-03 1.000E+10 1.000E+00
"C12O16 7A         1P 0-0 R(16)"   0  16   91.2199 109625.22 9.217E-04 1.000E+10 1.000E+00
"C12O16 7B      5ps1S 1-0 P(16)"   0  16   91.4098 109397.49 8.137E-04 1.000E+10 1.000E+00
"C12O16 7B      5ps1S 1-0 R(16)"   0  16   91.3093 109517.84 8.655E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 P(16)"   0  16   91.3915 109419.40 3.815E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 Q(16)"   0  16   91.3406 109480.38 8.397E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 R(16)"   0  16   91.2867 109544.94 4.583E-04 1.000E+10 1.000E+00
"C12O16 7D         1S 2-0 P(16)"   0  16   91.4500 109349.43 1.305E-02 1.000E+10 1.000E+00
"C12O16 7D         1S 2-0 R(16)"   0  16   91.3538 109464.53 1.388E-02 1.000E+10 1.000E+00
"C12O16 8A      6pp1P 0-0 P(16)"   0  16   91.6284 109136.53 4.499E-04 1.000E+11 1.000E+00
"C12O16 8A      6pp1P 0-0 Q(16)"   0  16   91.5773 109197.33 9.904E-04 1.000E+11 1.000E+00
"C12O16 8A      6pp1P 0-0 R(16)"   0  16   91.5232 109261.93 5.405E-04 1.000E+11 1.000E+00
"C12O16 8B      6ps1S 0-0 P(16)"   0  16   91.6948 109057.40 3.836E-03 1.000E+11 1.000E+00
"C12O16 8B      6ps1S 0-0 R(16)"   0  16   91.6027 109167.05 4.079E-03 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 P(16)"   0  16   91.8330 108893.32 5.152E-03 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 Q(16)"   0  16   91.7889 108945.61 1.134E-02 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 R(16)"   0  16   91.7423 109001.01 6.189E-03 1.000E+11 1.000E+00
"C12O16 9B      6ss1S 0-0 P(16)"   0  16   91.9286 108780.13 1.368E-03 1.000E+11 1.000E+00
"C12O16 9B      6ss1S 0-0 R(16)"   0  16   91.8094 108921.37 1.455E-03 1.000E+11 1.000E+00
"C12O16 9C      5ss1S 1-0 P(16)"   0  16   92.0697 108613.38 1.365E-03 1.000E+11 1.000E+00
"C12O16 9C      5ss1S 1-0 R(16)"   0  16   91.9634 108738.89 1.452E-03 1.000E+11 1.000E+00
"C12O16 10      5ds1S 0-0 P(16)"   0  16   92.3322 108304.53 3.061E-03 3.333E+11 1.000E+00
"C12O16 10      5ds1S 0-0 R(16)"   0  16   92.2255 108429.93 3.256E-03 3.333E+11 1.000E+00
"C12O16 11         1S 1-0 P(16)"   0  16   92.5287 108074.54 2.497E-03 1.000E+11 1.000E+00
"C12O16 11         1S 1-0 R(16)"   0  16   92.4246 108196.31 2.657E-03 1.000E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 P(16)"   0  16   92.6948 107880.93 3.711E-03 3.333E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 Q(16)"   0  16   92.6510 107931.95 8.168E-03 3.333E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 R(16)"   0  16   92.6047 107985.91 4.457E-03 3.333E+11 1.000E+00
"C12O16 13         1P 2-0 P(16)"   0  16   92.9211 107618.15 1.518E-03 1.000E+11 1.000E+00
"C12O16 13         1P 2-0 Q(16)"   0  16   92.8684 107679.22 3.341E-03 1.000E+11 1.000E+00
"C12O16 13         1P 2-0 R(16)"   0  16   92.8125 107744.08 1.824E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 P(16)"   0  16   93.0815 107432.70 1.442E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 Q(16)"   0  16   93.0315 107490.52 3.174E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 R(16)"   0  16   92.9784 107551.89 1.732E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 P(16)"   0  16   93.2177 107275.75 1.370E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 Q(16)"   0  16   93.1720 107328.39 3.016E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 R(16)"   0  16   93.1235 107384.29 1.646E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 P(16)"   0  16   93.3358 107140.07 2.738E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 Q(16)"   0  16   93.3028 107177.96 6.025E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 R(16)"   0  16   93.2690 107216.76 3.288E-03 1.000E+11 1.000E+00
"C12O16 15C     5ps1S 0-0 P(16)"   0  16   93.3161 107162.67 1.069E-02 1.000E+10 1.000E+00
"C12O16 15C     5ps1S 0-0 R(16)"   0  16   93.1943 107302.76 1.137E-02 1.000E+10 1.000E+00
"C12O16 16         1S 2-0 P(16)"   0  16   93.8312 106574.33 1.822E-03 3.333E+11 1.000E+00
"C12O16 16         1S 2-0 R(16)"   0  16   93.7778 106635.05 1.937E-03 3.333E+11 1.000E+00
"C12O16 *          1S 0-0 P(16)"   0  16   93.8561 106546.14 6.223E-06 3.333E+11 1.000E+00
"C12O16 *          1S 0-0 R(16)"   0  16   93.7457 106671.60 6.620E-06 3.333E+11 1.000E+00
"C12O16 17   I' 5ss1S 0-0 P(16)"   0  16   94.0506 106325.73 1.035E-02 1.000E+12 1.000E+00
"C12O16 17   I' 5ss1S 0-0 R(16)"   0  16   93.9323 106459.71 1.101E-02 1.000E+12 1.000E+00
"C12O16 18   W  3ss1P 2-0 P(16)"   0  16   94.2346 106118.12 5.849E-03 1.000E+11 1.000E+00
"C12O16 18   W  3ss1P 2-0 Q(16)"   0  16   94.1885 106170.03 1.287E-02 1.000E+11 1.000E+00
"C12O16 18   W  3ss1P 2-0 R(16)"   0  16   94.1397 106225.16 7.026E-03 1.000E+11 1.000E+00
"C12O16 19      4ds1S 0-0 P(16)"   0  16   94.6923 105605.25 3.693E-03 1.000E+11 1.000E+00
"C12O16 19      4ds1S 0-0 R(16)"   0  16   94.5813 105729.16 3.928E-03 1.000E+11 1.000E+00
"C12O16 20   L  4pp1P 1-0 P(16)"   0  16   94.8858 105389.79 6.336E-04 1.000E+10 1.000E+00
"C12O16 20   L  4pp1P 1-0 Q(16)"   0  16   94.8295 105452.37 1.395E-03 1.000E+10 1.000E+00
"C12O16 20   L  4pp1P 1-0 R(16)"   0  16   94.7698 105518.83 7.612E-04 1.000E+10 1.000E+00
"C12O16 21   H  4ps1S 1-0 P(16)"   0  16   95.0558 105201.41 1.068E-02 1.000E+12 1.000E+00
"C12O16 21   H  4ps1S 1-0 R(16)"   0  16   94.9404 105329.25 1.136E-02 1.000E+12 1.000E+00
"C12O16 22   W  3ss1P 1-0 P(16)"   0  16   95.7602 104427.49 3.057E-03 3.333E+11 1.000E+00
"C12O16 22   W  3ss1P 1-0 Q(16)"   0  16   95.7151 104476.77 6.729E-03 3.333E+11 1.000E+00
"C12O16 22   W  3ss1P 1-0 R(16)"   0  16   95.6672 104528.99 3.672E-03 3.333E+11 1.000E+00
"C12O16 23   H'    3P 3-0 P(16)"   0  16   96.2015 103948.53 5.838E-05 3.333E+11 1.000E+00
"C12O16 23   H'    3P 3-0 Q(16)"   0  16   96.1600 103993.33 1.285E-04 3.333E+11 1.000E+00
"C12O16 23   H'    3P 3-0 R(16)"   0  16   96.1160 104040.93 7.012E-05 3.333E+11 1.000E+00
"C12O16 24   J  4ss1S 1-0 P(16)"   0  16   96.4976 103629.55 1.354E-03 3.333E+11 1.000E+00
"C12O16 24   J  4ss1S 1-0 R(16)"   0  16   96.3800 103755.96 1.440E-03 3.333E+11 1.000E+00
"C12O16 25   L  4pp1P 0-0 P(16)"   0  16   96.8767 103224.01 1.758E-03 1.000E+10 1.000E+00
"C12O16 25   L  4pp1P 0-0 Q(16)"   0  16   96.8174 103287.21 3.869E-03 1.000E+10 1.000E+00
"C12O16 25   L  4pp1P 0-0 R(16)"   0  16   96.7545 103354.34 2.112E-03 1.000E+10 1.000E+00
"C12O16 26   L' 3dp1P 1-0 P(16)"   0  16   96.9745 103119.93 2.815E-03 3.333E+11 1.000E+00
"C12O16 26   L' 3dp1P 1-0 Q(16)"   0  16   96.9206 103177.26 6.197E-03 3.333E+11 1.000E+00
