#
#       site : https://molat.obspm.fr/index.php?page=pages/Molecules/CO-Rostas/view_data.php&fichier=T112C16O.txt
#
#       Table 1A. Absorption lines of 12C16O listed by rotational number (J") of
#                 the lower level.  
#
#       - column no 1 : (" between quotes ") band identification
#       - column no 2 : lower vibrational level
#       - column no 3 : lower rotational  level
#       - column no 4 : wavelength (in nm)
#       - column no 5 : wavenumber (in cm-1)
#       - column no 6 : oscillator strength
#       - column no 7 : upper state reciprocal lifetime (in s-1)
#       - column no 8 : upper state branching ratio towards dissociation
#
#       For more details concerning this table, please refer to page 234 of the paper by
#       Eidelsberg et al.(1991) which can be downloaded from this site. 
#
nb of lines:  3051
"C12O16 9C      5ss1S 1-0 P( 1)"   0   1   92.0174 108675.15 9.387E-04 1.000E+11 1.000E+00
"C12O16 9C      5ss1S 1-0 R( 1)"   0   1   92.0077 108686.58 1.878E-03 1.000E+11 1.000E+00
"C12O16 10      5ds1S 0-0 P( 1)"   0   1   92.2789 108367.15 2.106E-03 3.333E+11 1.000E+00
"C12O16 10      5ds1S 0-0 R( 1)"   0   1   92.2692 108378.55 4.212E-03 3.333E+11 1.000E+00
"C12O16 11         1S 1-0 P( 1)"   0   1   92.4664 108147.41 1.718E-03 1.000E+11 1.000E+00
"C12O16 11         1S 1-0 R( 1)"   0   1   92.4568 108158.61 3.437E-03 1.000E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 Q( 1)"   0   1   92.5814 108013.06 8.174E-03 3.333E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 R( 1)"   0   1   92.5757 108019.65 8.174E-03 3.333E+11 1.000E+00
"C12O16 13         1P 2-0 Q( 1)"   0   1   92.8659 107682.18 3.341E-03 1.000E+11 1.000E+00
"C12O16 13         1P 2-0 R( 1)"   0   1   92.8593 107689.83 3.341E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 Q( 1)"   0   1   93.0063 107519.62 3.174E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 R( 1)"   0   1   93.0000 107526.90 3.175E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 Q( 1)"   0   1   93.1079 107402.25 3.018E-03 1.000E+11 1.000E+00
