from Draine B., 1985, ApJSS, 57, 87 
122 points - wavelength from 227.9 A to 2e7 A
2   sizes  - a = 0.1 and 0.01 micron
The dielec. function depends on size for l > 10^5 A
###################################################
################# a = 0.1 microns #################
###################################################
#lambda      eps||1    eps||2     eps_|_1   eps_|_2
1.1000E-1    3.18E+0   8.60E+0    4.23E+0   2.47E+0 
1.0000E-1   -9.15E-1   4.58E+0    2.77E+0   5.16E+0 
9.1180E-2   -7.37E-1   2.48E+0    4.64E-1   4.48E+0 
8.0000E-2   -1.81E-1   1.77E+0   -1.05E+0   3.05E+0 
7.0000E-2   -3.74E-1   1.28E+0   -7.37E-1   1.43E+0 
6.0000E-2    1.21E-1   6.94E-1   -2.20E-1   7.92E-1 
5.0000E-2    2.83E-1   3.69E-1    1.56E-1   4.02E-1 
4.0000E-2    5.87E-1   2.20E-1    5.09E-1   1.97E-1 
3.5000E-2    6.82E-1   1.80E-1    6.33E-1   1.78E-1 
3.0000E-2    7.47E-1   1.23E-1    7.07E-1   1.24E-1 
2.5000E-2    8.10E-1   8.52E-2    7.82E-1   8.52E-2 
2.2790E-2    8.36E-1   6.70E-2    8.13E-1   6.70E-2 


###################################################
################ a = 0.01 microns #################
###################################################
#lambda      eps||1    eps||2     eps_|_1   eps_|_2
2.0000E+3    2.54E+0   2.41E+2    6.00E+2   3.77E+3
1.5000E+3    2.54E+0   1.80E+2    6.00E+2   2.83E+3
1.0000E+3    2.54E+0   1.20E+2    6.02E+2   1.89E+3
7.0000E+2    2.54E+0   8.41E+1    6.05E+2   1.32E+3
5.0000E+2    2.54E+0   6.01E+1    6.10E+2   9.43E+2
4.0000E+2    2.54E+0   4.80E+1    6.16E+2   7.55E+2
3.0000E+2    2.55E+0   3.60E+1    6.31E+2   5.68E+2
2.5000E+2    2.55E+0   2.99E+1    6.45E+2   4.74E+2
2.0000E+2    2.56E+0   2.39E+1    6.77E+2   3.87E+2
1.7500E+2    2.56E+0   2.08E+1    7.08E+2   3.47E+2
1.5000E+2    2.57E+0   1.78E+1    7.60E+2   3.22E+2
1.3500E+2    2.58E+0   1.59E+1    8.09E+2   3.29E+2
1.2000E+2    2.59E+0   1.41E+1    8.77E+2   3.71E+2
1.1000E+2    2.60E+0   1.29E+1    9.17E+2   4.44E+2
1.0000E+2    2.61E+0   1.16E+1    9.17E+2   5.60E+2
9.0000E+1    2.82E+0   1.04E+1    8.64E+2   6.75E+2
8.0000E+1    2.64E+0   9.16E+0    7.59E+2   8.06E+2
7.0000E+1    2.67E+0   7.90E+0    5.67E+2   8.97E+2
6.0000E+1    2.72E+0   6.62E+0    3.14E+2   9.07E+2
5.5000E+1    2.75E+0   5.97E+0    1.74E+2   8.64E+2
5.0000E+1    2.79E+0   5.32E+0    3.85E+1   7.78E+2
4.5000E+1    2.84E+0   4.67E+0   -5.84E+1   6.39E+2
4.0000E+1    2.91E+0   4.00E+0   -9.24E+1   5.03E+2
3.7500E+1    2.95E+0   3.67E+0   -9.87E+1   4.42E+2
3.5000E+1    3.00E+0   3.33E+0   -9.96E+1   3.85E+2
3.2500E+1    3.06E+0   2.99E+0   -9.47E+1   3.32E+2
3.0000E+1    3.12E+0   2.66E+0   -8.52E+1   2.83E+2
2.7500E+1    3.20E+0   2.32E+0   -7.25E+1   2.38E+2
2.5000E+1    3.29E+0   1.99E+0   -5.58E+1   2.01E+2
2.4000E+1    3.33E+0   1.86E+0   -4.80E+1   1.89E+2
2.2000E+1    3.42E+0   1.60E+0   -3.65E+1   1.67E+2
2.0000E+1    3.52E+0   1.34E+0   -2.52E+1   1.46E+2
1.8000E+1    3.63E+0   1.10E+0   -1.45E+1   1.29E+2
1.6000E+1    3.76E+0   8.70E-1   -6.64E+0   1.14E+2
1.4000E+1    3.91E+0   6.60E-1   -7.23E-1   9.89E+1
1.2000E+1    4.09E+0   4.76E-1    4.89E+0   8.46E+1
1.1550E+1    4.92E+0   6.24E-1    5.88E+0   8.17E+1
1.1540E+1    5.35E+0   8.87E-1    5.91E+0   8.17E+1
1.1530E+1    6.08E+0   2.32E+0    5.93E+0   8.16E+1
1.1525E+1    4.82E+0   4.23E+0    5.94E+0   8.16E+1
1.1520E+1    2.27E+0   3.19E+0    5.95E+0   8.15E+1
1.1515E+1    2.25E+0   1.63E+0    5.96E+0   8.15E+1
1.1510E+1    2.66E+0   1.03E+0    5.96E+0   8.15E+1
1.1500E+1    3.17E+0   6.55E-1    5.99E+0   8.14E+1
1.1000E+1    4.09E+0   3.96E-1    6.93E+0   7.82E+1
1.0000E+1    4.19E+0   3.24E-1    8.56E+0   7.17E+1            
9.0000E+0    4.27E+0   2.62E-1    9.73E+0   6.51E+1
8.0000E+0    4.35E+0   2.11E-1    1.08E+1   5.84E+1
7.0000E+0    4.42E+0   1.72E-1    1.18E+1   5.21E+1
6.5000E+0    4.45E+0   1.58E-1    1.24E+1   4.89E+1
6.3300E+0    4.46E+0   1.52E-1    1.50E+1   4.88E+1
6.3200E+0    4.46E+0   1.51E-1    1.61E+1   4.99E+1
6.3100E+0    4.46E+0   1.51E-1    1.70E+1   5.34E+1
6.3000E+0    4.47E+0   1.51E-1    1.06E+1   5.76E+1
6.2900E+0    4.47E+0   1.50E-1    6.84E+0   5.18E+1
6.2800E+0    4.47E+0   1.50E-1    8.10E+0   4.92E+1
6.2700E+0    4.47E+0   1.50E-1    9.09E+0   4.83E+1
6.0000E+0    4.48E+0   1.43E-1    1.16E+1   4.57E+1
5.5000E+0    4.51E+0   1.31E-1    1.19E+1   4.25E+1
5.0000E+0    4.54E+0   1.22E-1    1.20E+1   3.91E+1
4.5000E+0    4.56E+0   1.14E-1    1.19E+1   3.60E+1
4.0000E+0    4.59E+0   1.08E-1    1.17E+1   3.28E+1
3.8000E+0    4.59E+0   1.06E-1    1.16E+1   3.15E+1
3.6000E+0    4.60E+0   1.05E-1    1.14E+1   3.02E+1
3.4000E+0    4.61E+0   1.04E-1    1.12E+1   2.89E+1
3.2000E+0    4.62E+0   1.04E-1    1.10E+1   2.76E+1
3.1000E+0    4.63E+0   1.04E-1    1.09E+1   2.69E+1
3.0000E+0    4.63E+0   1.05E-1    1.08E+1   2.63E+1
2.8000E+0    4.64E+0   1.06E-1    1.06E+1   2.50E+1
2.6000E+0    4.65E+0   1.08E-1    1.03E+1   2.36E+1
2.4000E+0    4.67E+0   1.12E-1    1.01E+1   2.22E+1
2.2000E+0    4.68E+0   1.18E-1    9.70E+0   2.09E+1
2.0000E+0    4.70E+0   1.26E-1    9.33E+0   1.96E+1
1.8000E+0    4.72E+0   1.38E-1    8.90E+0   1.82E+1
1.6500E+0    4.74E+0   1.51E-1    8.53E+0   1.71E+1
1.5000E+0    4.76E+0   1.68E-1    8.16E+0   1.61E+1
1.4000E+0    4.78E+0   1.83E-1    7.87E+0   1.54E+1
1.2500E+0    4.82E+0   2.15E-1    7.37E+0   1.43E+1
1.1000E+0    4.87E+0   2.61E-1    6.80E+0   1.32E+1
1.0000E+0    4.92E+0   3.09E-1    6.41E+0   1.23E+1
9.0000E-1    4.98E+0   3.78E-1    6.01E+0   1.15E+1
8.0000E-1    5.07E+0   4.78E-1    5.67E+0   1.08E+1
7.0000E-1    5.17E+0   6.47E-1    5.37E+0   9.65E+0
6.5620E-1    5.24E+0   7.51E-1    5.28E+0   9.30E+0
5.5000E-1    5.37E+0   1.19E+0    5.05E+0   8.58E+0
4.8810E-1    5.37E+0   1.71E+0    4.84E+0   8.29E+0
4.4000E-1    5.23E+0   2.25E+0    4.63E+0   8.28E+0
4.3400E-1    5.18E+0   2.32E+0    4.59E+0   8.28E+0
4.0000E-1    4.73E+0   2.68E+0    4.31E+0   8.35E+0
3.6500E-1    4.28E+0   2.83E+0    3.90E+0   8.56E+0
3.3000E-1    3.79E+0   3.10E+0    3.20E+0   9.17E+0
3.0000E-1    2.99E+0   3.14E+0    1.39E+0   9.94E+0
2.8000E-1    2.41E+0   2.86E+0   -9.48E-1   9.84E+0
2.6000E-1    2.02E+0   2.27E+0   -3.36E+0   7.35E+0
2.4000E-1    1.96E+0   1.71E+0   -3.33E+0   4.15E+0
2.3000E-1    2.02E+0   1.43E+0   -2.66E+0   3.05E+0
2.2500E-1    2.08E+0   1.30E+0   -2.31E+0   2.67E+0
2.2000E-1    2.15E+0   1.22E+0   -1.97E+0   2.31E+0
2.1750E-1    2.18E+0   1.18E+0   -1.79E+0   2.15E+0
2.1500E-1    2.21E+0   1.13E+0   -1.62E+0   2.03E+0
2.1000E-1    2.28E+0   1.03E+0   -1.29E+0   1.82E+0
2.0000E-1    2.47E+0   8.86E-1   -7.22E-1   1.50E+0
1.9000E-1    2.89E+0   8.21E-1   -2.18E-1   1.23E+0
1.8000E-1    2.87E+0   8.47E-1    2.48E-1   1.04E+0
1.7000E-1    2.99E+0   8.33E-1    6.78E-1   8.96E-1
1.6000E-1    3.21E+0   7.43E-1    1.10E+0   7.90E-1
1.5000E-1    3.65E+0   7.51E-1    1.52E+0   7.01E-1
1.4000E-1    4.19E+0   1.02E+0    2.04E+0   6.68E-1
1.3000E-1    4.94E+0   1.53E+0    2.66E+0   7.93E-1
1.2000E-1    6.18E+0   3.29E+0    3.38E+0   1.28E+0
1.1000E-1    3.18E+0   8.60E+0    4.23E+0   2.47E+0
1.0000E-1   -9.15E-1   4.58E+0    2.77E+0   5.16E+0
9.1180E-2   -7.37E-1   2.48E+0    4.64E-1   4.48E+0
8.0000E-2   -1.81E-1   1.77E+0   -1.05E+0   3.05E+0
7.0000E-2   -3.74E-1   1.28E+0   -7.37E-1   1.43E+0
6.0000E-2    1.21E-1   6.94E-1   -2.20E-1   7.92E-1
5.0000E-2    2.83E-1   3.69E-1    1.56E-1   4.02E-1
4.0000E-2    5.87E-1   2.20E-1    5.09E-1   1.97E-1
3.5000E-2    6.82E-1   1.80E-1    6.33E-1   1.78E-1
3.0000E-2    7.47E-1   1.23E-1    7.07E-1   1.24E-1
2.5000E-2    8.10E-1   8.52E-2    7.82E-1   8.52E-2
2.2790E-2    8.36E-1   6.70E-2    8.13E-1   6.70E-2
