30 = number of temperatures

3.000E-04 = radius(micron), DUSTEM mixture    PAH0: 0.6    PAH1: 0.4
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.8556668094E+01      1.3369035729E+05      2.3605763748E+05
2.6946353324E+01      2.8196817231E+05      4.9868726912E+05
3.9129112713E+01      5.9470295243E+05      1.0514368984E+06
5.6832923914E+01      1.2525645030E+06      2.1827356941E+06
8.2527749077E+01      2.6044140300E+06      4.3132175124E+06
1.1983950321E+02      5.1394786553E+06      7.7755826481E+06
1.7406040913E+02      9.2233512326E+06      1.2544884992E+07
2.5275514226E+02      1.4963957526E+07      1.8393959142E+07
3.6702867848E+02      2.2292363574E+07      2.4997184299E+07
5.3308934224E+02      3.0540201649E+07      3.1547870676E+07
7.7410522707E+02      3.8231302923E+07      3.7022122101E+07
1.1240871935E+03      4.4105988482E+07      4.0911782789E+07
1.6326759671E+03      4.7922158087E+07      4.3362340864E+07
2.3708277395E+03      5.0129037314E+07      4.4770048558E+07
3.4427065039E+03      5.1302538342E+07      4.5514212597E+07
5.0003453498E+03      5.2181279833E+07      4.6078806335E+07

1.778E-03 = radius(micron), DUSTEM mixture    log transition towards a=3 nm
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890860532E+00      5.5121785659E+00
1.4522119294E-01      8.1895495040E+00      1.5294354782E+01
2.1089680480E-01      1.7270305376E+01      3.2802131736E+01
3.0626685580E-01      3.6425038655E+01      6.9935393048E+01
4.4476438156E-01      7.6824550122E+01      1.4861427806E+02
6.4590701305E-01      1.6199441064E+02      3.1514516956E+02
9.3799602943E-01      3.4166464003E+02      6.6750402176E+02
1.3621658871E+00      7.2060959253E+02      1.4125796238E+03
1.9781991003E+00      1.5194976874E+03      2.9870790641E+03
2.8727643321E+00      3.2047934761E+03      6.3150612236E+03
4.1718626333E+00      6.7592740085E+03      1.3346073781E+04
6.0585681859E+00      1.4252795593E+04      2.8194193508E+04
8.7983249944E+00      3.0060767259E+04      5.9562175048E+04
1.2776149940E+01      6.3401577768E+04      1.2583668299E+05
1.8556668094E+01      1.3369035299E+05      2.6581810153E+05
2.6946353324E+01      2.8196816266E+05      5.6164566108E+05
3.9129112713E+01      5.9470293088E+05      1.1838891130E+06
5.6832923914E+01      1.2525644551E+06      2.4497723949E+06
8.2527749077E+01      2.6043042523E+06      4.7881785396E+06
1.1983950321E+02      5.1368819306E+06      8.4644459661E+06
1.7406040913E+02      9.2022067830E+06      1.3331490949E+07
2.5275514226E+02      1.4877873423E+07      1.9075049138E+07
3.6702867848E+02      2.2076555384E+07      2.5337903189E+07
5.3308934224E+02      3.0156155094E+07      3.1356477993E+07
7.7410522707E+02      3.7675892603E+07      3.6248421431E+07
1.1240871935E+03      4.3392074939E+07      3.9644769655E+07
1.6326759671E+03      4.7075049826E+07      4.1747785665E+07
2.3708277395E+03      4.9186956992E+07      4.2941816206E+07
3.4427065039E+03      5.0304496169E+07      4.3568344814E+07
5.0003453498E+03      5.1137060569E+07      4.4042901413E+07

1.995E-03 = radius(micron), DUSTEM mixture    log transition towards a=3 nm
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890860437E+00      6.2394065381E+00
1.4522119294E-01      8.1895494570E+00      1.7290205730E+01
2.1089680480E-01      1.7270305242E+01      3.7057335890E+01
3.0626685580E-01      3.6425038297E+01      7.8969265075E+01
4.4476438156E-01      7.6824549211E+01      1.6775058422E+02
6.4590701305E-01      1.6199440839E+02      3.5563296642E+02
9.3799602943E-01      3.4166463459E+02      7.5309307411E+02
1.3621658871E+00      7.2060957958E+02      1.5934162777E+03
1.9781991003E+00      1.5194976570E+03      3.3690502450E+03
2.8727643321E+00      3.2047934054E+03      7.1218537905E+03
4.1718626333E+00      6.7592738457E+03      1.5049835447E+04
6.0585681859E+00      1.4252795220E+04      3.1791892697E+04
8.7983249944E+00      3.0060766412E+04      6.7160025382E+04
1.2776149940E+01      6.3401575853E+04      1.4189072689E+05
1.8556668094E+01      1.3369034868E+05      2.9975045040E+05
2.6946353324E+01      2.8196815300E+05      6.3340050177E+05
3.9129112713E+01      5.9470290929E+05      1.3347299148E+06
5.6832923914E+01      1.2525644071E+06      2.7526887558E+06
8.2527749077E+01      2.6041942404E+06      5.3204619813E+06
1.1983950321E+02      5.1342809534E+06      9.2202410914E+06
1.7406040913E+02      9.1810679527E+06      1.4172512968E+07
2.5275514226E+02      1.4792128625E+07      1.9784493130E+07
3.6702867848E+02      2.1862496001E+07      2.5684300510E+07
5.3308934224E+02      2.9776395106E+07      3.1165900562E+07
7.7410522707E+02      3.7127824972E+07      3.5490169155E+07
1.1240871935E+03      4.2688848189E+07      3.8416540070E+07
1.6326759671E+03      4.6241954431E+07      4.0193327856E+07
2.3708277395E+03      4.8261570641E+07      4.1188580069E+07
3.4427065039E+03      4.9324835907E+07      4.1706231131E+07
5.0003453498E+03      5.0112688039E+07      4.2097694685E+07

2.239E-03 = radius(micron), DUSTEM mixture    log transition towards a=3 nm
